number,file,layer,row,col,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,faces,watertight
1,1.stl,1,1,1,15.353,199.999,200.000,323.508,104.814,200.000,1902,1
2,2.stl,1,1,2,199.999,399.999,200.000,330.000,1.467,200.000,3450,1
3,3.stl,1,1,3,399.999,504.584,200.000,296.176,158.698,200.000,680,1
4,4.stl,1,2,1,0.798,199.999,16.497,200.000,3.936,200.000,3826,1
5,5.stl,1,2,2,199.999,399.999,13.560,200.000,0.000,200.000,7046,1
6,6.stl,1,2,3,399.999,519.114,31.615,200.000,61.621,200.000,1732,1
7,7.stl,2,1,1,2.621,199.999,200.000,322.918,200.000,400.000,2764,1
8,8.stl,2,1,2,199.999,399.999,200.000,328.423,200.000,400.000,4090,1
9,9.stl,2,1,3,399.999,517.379,200.000,299.250,200.000,368.379,1442,1
10,10.stl,2,2,1,0.000,199.999,6.492,200.000,200.000,400.000,3948,1
11,11.stl,2,2,2,199.999,399.999,0.000,200.000,200.000,400.000,6142,1
12,12.stl,2,2,3,399.999,520.000,30.750,200.000,200.000,367.557,1914,1
13,13.stl,3,1,1,154.924,199.999,200.000,208.430,400.000,413.536,148,1
14,14.stl,3,1,2,199.999,365.076,200.000,208.430,400.000,413.536,400,1
15,15.stl,3,2,1,153.658,199.999,164.360,200.000,400.000,426.064,454,1
16,16.stl,3,2,2,199.999,366.342,91.597,200.000,400.000,430.000,2872,1
